,ID,Annotater,video id,Attractive Level (1-5),Question 2: Sound (1-5),Question 2.1: Music (1-5),Question 2.2 : Noise control (1-5),Question 2.3 : Speaking Style (1-5),Question 3: Camera (1-5),Question 3.1: Stable (1-5),Question 3.2: Angel diversity (0-1),Question 4: Images (1-5),Question 4.1: Resolution (1-5),Question 4.2: Color (1-5),Question 5: Content (1-5),Question 5.1: Introduction (0-1),Question 5.2: Food description (0-1),Question 6: Reviewer (1-5),Question 6.1: Reviewer emotion is negative - neutral - positive (1-3),Question 6.2: Recommendation (0-1),Question 6.3: Clear information (0-1)
0,665,haitm,GP2qD48z4HA,3.0,3.0,3,3,4,4.0,4,1,4.0,4,3,4,1,1,3.0,2,0,1
0,85,hanl,8-2XcUzHtIo,1.0,3.0,1,1,2,4.0,4,0,2.0,4,4,1,0,0,1.0,3,0,1
0,285,baohg,N3TS4OWrfpE,4.0,4.0,5,4,4,4.0,3,1,4.0,4,4,3,1,1,4.0,3,1,1
0,48,hanl,idHgmPyriD4,2.0,2.0,1,2,4,3.0,5,0,2.0,4,4,1,0,1,1.0,2,0,1
0,370,haitm,_0pCTjCanR8,2.0,2.0,1,2,4,3.0,2,0,3.0,4,3,2,0,0,3.0,2,0,0
0,147,hanl,gCVnzXm09Jo,3.0,3.0,1,3,3,1.0,2,1,3.0,4,3,5,1,1,3.0,1,0,1
0,186,hanl,PUnKvRTvAjc,3.0,4.0,1,5,5,5.0,5,1,3.0,3,5,2,1,1,3.0,3,1,1
0,679,haitm,dGU9wkhW-Ms,3.0,3.0,3,3,3,3.0,3,1,4.0,3,3,3,0,1,3.0,2,0,0
0,521,haitm,JRLuq0-ctgA,3.0,3.0,3,3,4,4.0,4,0,3.0,4,2,3,1,1,3.0,2,0,1
0,300,anhmt,z_KIAz00kuQ,1.0,1.0,1,1,1,1.0,1,0,2.0,4,1,2,0,0,1.0,3,0,1
0,376,haitm,eHuORLSqmVc,2.0,2.0,2,2,3,3.0,3,1,4.0,3,3,3,0,1,3.0,3,0,1
0,270,anhmt,r1BzB2-Cx7k,2.0,3.0,2,2,4,2.0,1,1,3.0,5,2,4,1,1,3.0,2,0,0
0,726,haitm,PDqnueWObMI,3.0,2.0,2,2,3,3.0,3,1,3.0,4,3,3,1,1,4.0,3,0,1
0,230,baohg,ny9kMIDMre4,4.0,4.0,3,4,5,4.0,4,1,4.0,4,4,4,1,1,4.0,3,1,1
0,580,Lamnh,3gJ_14U5mdY,4.0,4.0,3,4,4,4.0,4,1,4.0,4,3,5,1,1,4.0,3,0,1
0,642,haitm,MGBeh10L_Ck,1.0,2.0,1,1,2,2.0,2,0,3.0,4,2,1,0,0,1.0,1,0,0
0,250,nhanlh,zHq4pNRskxw,5.0,5.0,4,5,5,5.0,5,1,4.0,4,5,5,1,1,4.0,3,1,1
0,311,nhanlh,JDvUGM_jRvk,2.0,1.0,1,1,4,1.0,1,0,5.0,5,3,4,1,1,4.0,3,1,1
0,127,hanl,5uxWtdd5-8s,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,1,hoangnd,5OzrpNCyXqs,5.0,5.0,4,5,4,5.0,5,1,5.0,5,5,5,1,1,5.0,3,0,1
0,613,Lamnh,ao5FEhQQ1IY,1.0,1.0,1,1,2,1.0,1,0,1.0,2,1,1,0,0,1.0,3,0,0
0,347,nhanlh,NKF6AlR5OfY,2.0,2.0,4,1,5,2.0,2,0,1.0,4,1,2,1,0,3.0,2,0,0
0,558,haitm,atHAabNpQEI,2.0,2.0,1,4,2,2.0,2,0,3.0,4,2,2,0,0,2.0,1,0,0
0,736,haitm,EFZzQykjgz8,2.0,2.0,2,2,2,3.0,2,0,3.0,4,3,2,0,0,3.0,2,0,0
0,691,haitm,_buEVJ8fDj4,4.0,5.0,5,4,4,4.0,5,1,4.0,4,4,4,1,1,4.0,3,1,1
0,488,taidpa,fU6UZtcvlYM,3.0,4.0,3,3,5,5.0,5,1,4.0,4,4,1,0,0,4.0,3,1,1
0,551,Lamnh,G9uP3B8nDzY,3.0,4.0,4,2,2,3.0,3,1,4.0,4,3,2,1,0,2.0,2,0,1
0,778,haitm,6lCkSKn2SwY,5.0,5.0,5,4,5,5.0,4,1,5.0,5,4,5,1,1,5.0,3,0,1
0,518,Lamnh,6aepW0fDW0g,3.0,2.0,3,1,3,3.0,3,0,3.0,4,3,3,1,1,3.0,3,0,0
0,528,haitm,9vqIcs-fPug,4.0,4.0,4,4,5,4.0,4,1,4.0,4,4,5,0,1,4.0,3,0,1
0,120,hanl,Ay8xR5JwgTE,4.0,4.0,4,4,3,4.0,5,1,4.0,4,3,2,1,1,4.0,3,1,1
0,222,baohg,zcJuiziyy-E,2.0,2.0,5,2,4,3.0,3,1,6.0,4,4,3,1,1,3.0,3,0,0
0,761,haitm,qdBhctdpRpo,3.0,2.0,1,2,3,3.0,3,0,3.0,4,2,3,1,1,4.0,3,0,0
0,18,hanl,8yBn-c8__Tk,2.0,2.0,1,1,3,2.0,4,0,2.0,4,1,1,0,0,1.0,2,0,0
0,479,Lamnh,YFlyMu0kFiY,4.0,4.0,4,4,5,5.0,4,1,4.0,4,4,3,1,0,4.0,3,0,0
